--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Macroboard V1: Advertising Started...
# Sensor debug mode enabled
# CSV columns:
# ms,joy_x_raw,joy_y_raw,joy_x_centered,joy_y_centered,joy_x_step,joy_y_step,pot_raw,pot_pct
31502,1926,1901,-125,-152,-1,-2,4095,99
31585,1918,1891,-123,-152,-1,-2,4095,99
31668,1931,1899,-123,-150,-1,-2,4095,99
31751,1930,1894,-123,-128,-1,-1,4095,99
31834,1944,1904,-117,-140,-1,-2,4095,99
31917,1928,1895,-117,-147,-1,-2,4095,99
32000,1930,1899,-118,-147,-1,-2,4095,99
32083,1931,1904,-124,-147,-1,-2,4095,99
32166,1932,1877,-121,-157,-1,-2,4095,99
32249,1924,1895,-121,-164,-1,-2,4095,99
32332,1984,1900,-81,-150,-1,-2,4095,99
32415,1926,1904,-120,-159,-1,-2,4095,99
32498,1962,1904,-99,-153,-1,-2,4095,99
32581,1927,1899,-106,-156,-1,-2,4095,99
32664,1924,1904,-112,-153,-1,-2,4095,99
32747,1929,1901,-117,-153,-1,-2,4095,99
32830,1907,1889,-127,-154,-1,-2,4095,99
32913,1930,1902,-125,-159,-1,-2,4095,99
32996,1919,1899,-123,-154,-1,-2,4095,99
33079,1930,1901,-121,-151,-1,-2,4095,99
33162,1890,1903,-141,-151,-2,-2,4095,99
33245,1937,1892,-123,-151,-1,-2,4095,99
33328,1931,1902,-112,-152,-1,-2,4095,99
33411,1920,1899,-118,-151,-1,-2,4095,99
33494,1930,1973,-118,-86,-1,-1,4095,99
33577,1923,1900,-122,-149,-1,-2,4095,99
33660,1922,1883,-122,-154,-1,-2,3858,94
33743,1929,1887,-108,-155,-1,-2,3536,86
33826,1927,1901,-115,-153,-1,-2,3238,79
33909,1931,1902,-116,-152,-1,-2,3056,75
33992,1929,1898,-129,-151,-1,-2,3052,74
34075,1925,1897,-123,-151,-1,-2,4095,99
34158,1930,1873,-121,-164,-1,-2,4095,99
34241,1925,1890,-121,-146,-1,-2,4095,99
34324,1918,1896,-121,-151,-1,-2,4095,99
34407,1927,1897,-122,-176,-1,-2,4095,99
34490,1919,1889,-119,-159,-1,-2,4095,99
34573,1929,1903,-122,-153,-1,-2,4095,99
34656,1927,1898,-121,-114,-1,-1,2783,68
34739,1927,1902,-121,-141,-1,-2,2601,63
34822,1929,1899,-115,-148,-1,-2,2437,59
34905,1930,1893,-116,-149,-1,-2,2324,57
34987,1931,1903,-121,-150,-1,-2,2301,56
35070,1919,1901,-122,-150,-1,-2,4095,99
35153,1927,1889,-122,-199,-1,-2,4095,99
35236,1933,1902,-121,-159,-1,-2,4095,99
35319,1921,1879,-121,-154,-1,-2,4095,99
35402,1931,1902,-121,-153,-1,-2,4095,99
35485,1930,1898,-126,-153,-1,-2,4095,99
35568,1929,1901,-108,-151,-1,-2,4095,99
35651,1927,1899,-118,-150,-1,-2,4095,99
35734,1921,1895,-120,-150,-1,-2,1750,42
35817,1927,1885,-123,-155,-1,-2,1696,41
35900,1923,1900,-123,-155,-1,-2,4095,99
35983,1930,1898,-127,-169,-1,-2,4095,99
36066,1922,1905,-126,-154,-1,-2,4095,99
36149,1926,1889,-122,-153,-1,-2,4095,99
36232,1919,1913,-118,-152,-1,-2,4095,99
36315,1919,1901,-121,-151,-1,-2,4095,99
36398,1932,1890,-121,-151,-1,-2,1535,37
36481,1933,1877,-125,-163,-1,-2,1345,33
36564,1931,1903,-118,-154,-1,-2,1127,27
36647,1907,1902,-127,-152,-1,-2,933,23
36730,1921,1890,-132,-151,-1,-2,784,19
36813,1927,1898,-126,-151,-1,-2,709,17
36896,1927,1902,-122,-151,-1,-2,609,15
36979,1929,1889,-122,-149,-1,-2,523,13
37062,1929,1894,-122,-149,-1,-2,507,12
37145,1934,1902,-122,-149,-1,-2,4095,99
37228,1930,1899,-117,-149,-1,-2,4095,99
37311,1931,1900,-120,-149,-1,-2,4095,99
37394,1931,1896,-120,-149,-1,-2,4095,99
37477,1921,1897,-123,-152,-1,-2,4095,99
37560,1922,1873,-107,-161,-1,-2,4095,99
37643,1931,1850,-117,-181,-1,-2,4095,99
37726,1929,1902,-119,-156,-1,-2,4095,99
37809,1905,1903,-128,-152,-1,-2,4095,99
37891,1941,1895,-121,-151,-1,-2,4095,99
37974,1920,1898,-98,-149,-1,-2,4095,99
38057,1926,1904,-116,-149,-1,-2,4095,99
38140,1919,1899,-146,-149,-2,-2,4095,99
38223,1929,1887,-129,-149,-1,-2,4095,99
38306,1935,1855,-122,-176,-1,-2,4095,99
38389,1910,1889,-126,-167,-1,-2,4095,99
38472,1930,1899,-113,-157,-1,-2,4095,99
38555,1931,1889,-113,-154,-1,-2,4095,99
38638,1933,1899,-122,-154,-1,-2,4095,99
38721,1927,1900,-121,-152,-1,-2,4095,99
38804,1927,1901,-120,-152,-1,-2,4095,99
38887,1927,2345,-119,297,-1,2,4095,99
38970,1930,4095,-119,2046,-1,14,4095,99
39053,1927,4095,-119,2046,-1,14,4095,99
39136,1927,4095,-126,2046,-1,14,4095,99
39219,1924,4095,-123,2046,-1,14,4095,99
39302,1958,4095,-107,2046,-1,14,4095,99
39385,2053,4095,5,2046,0,14,4095,99
39468,1927,4095,-119,2046,-1,14,4095,99
39551,1930,4095,-119,2046,-1,14,4095,99
39634,1930,4095,-119,2046,-1,14,4095,99
39717,1929,2501,-119,453,-1,3,4095,99
39800,1934,1890,-125,-152,-1,-2,4095,99
39883,1931,1897,-122,-149,-1,-2,4095,99
39966,1926,1899,-121,-150,-1,-2,4095,99
40049,1919,1889,-118,-191,-1,-2,4095,99
40132,1932,1898,-118,-158,-1,-2,4095,99
40215,1930,1903,-126,-155,-1,-2,4095,99
40298,1933,1915,-122,-146,-1,-2,4095,99
40381,1936,877,-121,-1171,-1,-9,4095,99
40464,1930,0,-121,-2048,-1,-15,4095,99
40547,1930,0,-121,-2048,-1,-15,4095,99
40630,1925,0,-121,-2048,-1,-15,4095,99
